Resp. Origem;Resp. Destino;Rota;Coleta;Entrega;Terminais;Fixo das Unidades;Redespacho Coleta/Redespacho Entrega;Transferencias;Vazios;Custo Matriz;Total
SJP;BNU;SJP_BNU;5,33%;3,81%;48,23%;11,19%;0,00%;8,99%;3,45%;19,00%;100,00%
SJP;BNU;PPB_BNU;0,00%;3,19%;40,34%;4,06%;19,59%;7,52%;6,30%;19,00%;100,00%
RIO;BNU;RIO_BNU;14,42%;5,54%;43,40%;0,00%;0,00%;12,64%;5,01%;19,00%;100,00%
BHZ;BNU;JDF_BNU;0,00%;4,02%;33,75%;0,00%;28,89%;10,71%;3,63%;19,00%;100,00%
BHZ;BNU;DIV_BNU;0,00%;5,22%;43,78%;0,00%;13,40%;13,89%;4,71%;19,00%;100,00%
BHZ;BNU;BHZ_BNU;7,82%;5,65%;47,39%;0,00%;0,00%;15,03%;5,10%;19,00%;100,00%
UDI;BNU;UDI_BNU;7,34%;6,74%;52,82%;0,00%;0,00%;8,01%;6,09%;19,00%;100,00%
RIO;BNU;CAW_BNU;0,00%;4,30%;33,65%;0,00%;29,37%;9,80%;3,88%;19,00%;100,00%
VIX;BNU;VIX_BNU;5,07%;5,40%;39,22%;10,81%;0,00%;15,64%;4,88%;19,00%;100,00%
GYN;BNU;GYN_BNU;9,99%;5,64%;42,10%;0,00%;0,00%;18,18%;5,09%;19,00%;100,00%
BSB;BNU;BSB_BNU;8,09%;4,71%;44,26%;0,00%;0,00%;18,11%;5,83%;19,00%;100,00%
FES;BNU;VDC_BNU;0,00%;3,61%;23,91%;0,00%;34,69%;15,53%;3,26%;19,00%;100,00%
FES;BNU;ITN_BNU;0,00%;3,88%;25,73%;0,00%;31,18%;16,71%;3,51%;19,00%;100,00%
SSA;BNU;SSA_BNU;10,28%;4,80%;40,71%;0,00%;0,00%;20,86%;4,34%;19,00%;100,00%
FES;BNU;FES_BNU;4,39%;5,97%;39,56%;0,00%;0,00%;25,69%;5,39%;19,00%;100,00%
BSB;BNU;CGR_BNU;47,49%;3,18%;17,42%;0,00%;0,00%;10,04%;2,88%;19,00%;100,00%
BSB;BNU;PMW_BNU;0,00%;2,90%;27,30%;0,00%;32,40%;11,17%;7,23%;19,00%;100,00%
BSB;BNU;CGB_BNU;44,17%;2,56%;19,93%;0,00%;0,00%;11,13%;3,22%;19,00%;100,00%
REC;BNU;PNZ_BNU;0,00%;3,15%;24,78%;0,00%;32,05%;18,16%;2,85%;19,00%;100,00%
AJU;BNU;AJU_BNU;13,29%;4,52%;35,56%;0,00%;0,00%;23,53%;4,09%;19,00%;100,00%
MCZ;BNU;MCZ_BNU;7,80%;4,65%;39,30%;0,00%;0,00%;25,05%;4,20%;19,00%;100,00%
FOR;BNU;IMP_BNU;0,00%;3,04%;23,76%;0,00%;32,86%;18,59%;2,75%;19,00%;100,00%
REC;BNU;CAU_BNU;0,00%;3,30%;25,97%;0,00%;29,71%;19,03%;2,99%;19,00%;100,00%
FOR;BNU;THE_BNU;0,00%;3,06%;23,91%;0,00%;32,55%;18,71%;2,77%;19,00%;100,00%
REC;BNU;REC_BNU;9,81%;4,59%;36,04%;0,00%;0,00%;26,41%;4,14%;19,00%;100,00%
JPA;BNU;JPA_BNU;6,62%;4,74%;36,95%;0,00%;0,00%;28,41%;4,28%;19,00%;100,00%
NAT;BNU;NAT_BNU;7,86%;4,35%;37,76%;0,00%;0,00%;27,09%;3,93%;19,00%;100,00%
FOR;BNU;SLZ_BNU;0,00%;3,12%;24,37%;0,00%;31,63%;19,06%;2,82%;19,00%;100,00%
FOR;BNU;FOR_BNU;8,76%;4,56%;35,66%;0,00%;0,00%;27,90%;4,13%;19,00%;100,00%
BEL;BNU;BEL_BNU;8,89%;5,18%;48,04%;0,00%;0,00%;12,35%;6,53%;19,00%;100,00%
BSB;BSB;BSB_BSB;27,47%;0,00%;30,90%;22,62%;0,00%;0,00%;0,00%;19,00%;100,00%
GYN;BSB;GYN_BSB;14,14%;13,72%;31,36%;13,87%;0,00%;3,95%;3,95%;19,00%;100,00%
SAO;BSB;SAO_BSB;7,58%;9,93%;30,58%;11,83%;0,00%;11,05%;10,02%;19,00%;100,00%
SAO;BSB;SSZ_BSB;0,00%;6,40%;19,70%;5,27%;36,13%;7,12%;6,38%;19,00%;100,00%
FES;BSB;VDC_BSB;0,00%;5,89%;17,41%;5,96%;32,94%;10,73%;8,08%;19,00%;100,00%
BAU;BSB;BAU_BSB;9,94%;6,55%;30,51%;14,55%;0,00%;10,61%;8,84%;19,00%;100,00%
RAO;BSB;RAO_BSB;9,47%;7,44%;30,13%;15,05%;0,00%;11,40%;7,51%;19,00%;100,00%
CWB;BSB;CWB_BSB;6,77%;7,12%;28,70%;19,69%;0,00%;11,54%;7,18%;19,00%;100,00%
JOI;BSB;JOI_BSB;5,19%;7,92%;32,56%;14,15%;0,00%;13,18%;7,99%;19,00%;100,00%
FES;BSB;ITN_BSB;0,00%;6,21%;18,36%;6,28%;29,03%;11,31%;9,80%;19,00%;100,00%
BSB;BSB;PMW_BSB;0,00%;8,52%;9,58%;0,00%;55,28%;0,00%;7,62%;19,00%;100,00%
SJP;BSB;SJP_BSB;4,70%;5,77%;41,88%;12,47%;0,00%;10,35%;5,83%;19,00%;100,00%
BNU;BSB;BNU_BSB;4,92%;8,46%;36,45%;13,23%;0,00%;9,41%;8,54%;19,00%;100,00%
ITJ;BSB;ITJ_BSB;0,00%;8,38%;34,43%;9,98%;5,83%;13,94%;8,45%;19,00%;100,00%
FES;BSB;FES_BSB;3,72%;8,70%;25,72%;12,40%;0,00%;15,85%;14,60%;19,00%;100,00%
SJP;BSB;PPB_BSB;0,00%;4,93%;35,73%;5,87%;17,61%;8,83%;8,05%;19,00%;100,00%
FLN;BSB;FLN_BSB;4,96%;7,20%;32,93%;15,08%;0,00%;13,57%;7,26%;19,00%;100,00%
UDI;BSB;UDI_BSB;5,15%;8,13%;36,21%;14,26%;0,00%;9,05%;8,20%;19,00%;100,00%
MGF;BSB;MGF_BSB;4,40%;7,48%;31,31%;15,94%;0,00%;14,31%;7,55%;19,00%;100,00%
FLN;BSB;LAJ_BSB;0,00%;5,81%;26,60%;6,93%;24,83%;10,96%;5,87%;19,00%;100,00%
SSA;BSB;SSA_BSB;7,09%;5,69%;26,76%;18,94%;0,00%;11,73%;10,79%;19,00%;100,00%
FLN;BSB;CCM_BSB;0,00%;5,30%;24,24%;6,31%;29,81%;9,99%;5,35%;19,00%;100,00%
AJU;BSB;AJU_BSB;10,51%;6,15%;22,59%;17,01%;0,00%;14,42%;10,32%;19,00%;100,00%
FLN;BSB;XAP_BSB;0,00%;5,90%;27,02%;7,03%;23,95%;11,13%;5,96%;19,00%;100,00%
CXJ;BSB;CXJ_BSB;8,97%;7,83%;25,27%;14,20%;0,00%;16,82%;7,91%;19,00%;100,00%
POA;BSB;POA_BSB;4,64%;6,87%;31,52%;15,67%;0,00%;15,37%;6,93%;19,00%;100,00%
REC;BSB;PNZ_BSB;0,00%;4,74%;20,56%;6,74%;28,00%;13,01%;7,95%;19,00%;100,00%
BSB;BSB;CGB_BSB;36,01%;3,58%;15,87%;10,59%;0,00%;10,58%;4,36%;19,00%;100,00%
BSB;BSB;CGR_BSB;40,84%;4,71%;14,48%;5,61%;0,00%;10,61%;4,75%;19,00%;100,00%
MCZ;BSB;MCZ_BSB;6,16%;6,31%;25,35%;17,13%;0,00%;15,47%;10,59%;19,00%;100,00%
REC;BSB;CAU_BSB;0,00%;4,93%;21,42%;7,02%;25,80%;13,55%;8,28%;19,00%;100,00%
REC;BSB;REC_BSB;7,25%;5,82%;25,28%;16,89%;0,00%;15,99%;9,77%;19,00%;100,00%
JPA;BSB;JPA_BSB;5,35%;6,59%;23,97%;15,56%;0,00%;18,49%;11,05%;19,00%;100,00%
NAT;BSB;NAT_BSB;6,50%;6,18%;25,67%;14,09%;0,00%;18,19%;10,37%;19,00%;100,00%
VIX;BSB;VIX_BSB;3,88%;7,10%;35,71%;16,60%;0,00%;9,19%;8,52%;19,00%;100,00%
FOR;BSB;THE_BSB;0,00%;4,61%;19,90%;6,57%;28,53%;13,65%;7,74%;19,00%;100,00%
FOR;BSB;FOR_BSB;6,54%;5,86%;25,27%;16,17%;0,00%;17,33%;9,83%;19,00%;100,00%
BHZ;BSB;BHZ_BSB;6,41%;7,95%;31,65%;15,19%;0,00%;10,27%;9,53%;19,00%;100,00%
RIO;BSB;CAW_BSB;0,00%;6,06%;26,95%;7,22%;24,08%;10,59%;6,11%;19,00%;100,00%
BHZ;BSB;DIV_BSB;0,00%;8,17%;32,53%;8,26%;12,20%;10,56%;9,28%;19,00%;100,00%
BHZ;BSB;JDF_BSB;0,00%;6,32%;25,16%;6,39%;26,40%;8,17%;8,58%;19,00%;100,00%
FOR;BSB;IMP_BSB;0,00%;4,59%;19,79%;6,53%;28,82%;13,57%;7,70%;19,00%;100,00%
FOR;BSB;SLZ_BSB;0,00%;4,69%;20,23%;6,68%;27,66%;13,87%;7,87%;19,00%;100,00%
RIO;BSB;RIO_BSB;10,53%;6,96%;30,95%;13,38%;0,00%;12,16%;7,02%;19,00%;100,00%
BHZ;BSB;PSA_BSB;0,00%;5,06%;20,14%;5,11%;32,11%;6,54%;12,04%;19,00%;100,00%
CPQ;BSB;SJK_BSB;0,00%;5,89%;26,08%;7,02%;25,75%;8,75%;7,51%;19,00%;100,00%
CPQ;BSB;CPQ_BSB;7,76%;6,61%;29,25%;19,53%;0,00%;9,82%;8,04%;19,00%;100,00%
CPQ;BSB;SOD_BSB;0,00%;6,45%;28,57%;7,69%;21,90%;9,59%;6,81%;19,00%;100,00%
LDB;BSB;LDB_BSB;6,49%;7,55%;29,83%;12,40%;0,00%;12,97%;11,76%;19,00%;100,00%
LDB;BSB;CAC_BSB;0,00%;6,08%;24,02%;7,24%;21,49%;10,45%;11,72%;19,00%;100,00%
BEL;BSB;BEL_BSB;7,84%;7,86%;41,54%;0,00%;0,00%;14,20%;9,56%;19,00%;100,00%
LDB;LDB;CAC_CAC;0,00%;0,00%;16,06%;0,00%;64,94%;0,00%;0,00%;19,00%;100,00%
MGF;LDB;MGF_CAC;7,01%;42,20%;13,20%;11,20%;0,00%;2,60%;4,79%;19,00%;100,00%
CWB;LDB;CWB_CAC;9,50%;35,30%;9,52%;15,72%;0,00%;4,82%;6,15%;19,00%;100,00%
JOI;LDB;JOI_CAC;5,26%;28,35%;15,92%;17,41%;0,00%;7,16%;6,90%;19,00%;100,00%
SAO;LDB;SAO_CAC;7,44%;34,48%;19,05%;3,59%;0,00%;7,48%;8,96%;19,00%;100,00%
SAO;LDB;SSZ_CAC;0,00%;22,30%;12,32%;0,00%;35,60%;4,84%;5,94%;19,00%;100,00%
BNU;LDB;BNU_CAC;3,96%;24,09%;21,91%;17,33%;0,00%;7,01%;6,70%;19,00%;100,00%
ITJ;LDB;ITJ_CAC;0,00%;30,79%;17,29%;13,72%;6,06%;7,78%;5,36%;19,00%;100,00%
CPQ;LDB;SJK_CAC;0,00%;20,60%;19,24%;2,14%;25,46%;6,65%;6,91%;19,00%;100,00%
CPQ;LDB;SOD_CAC;0,00%;22,54%;21,05%;2,34%;21,64%;7,27%;6,15%;19,00%;100,00%
CPQ;LDB;CPQ_CAC;7,67%;23,07%;21,55%;13,91%;0,00%;7,45%;7,35%;19,00%;100,00%
FLN;LDB;FLN_CAC;4,29%;21,99%;21,66%;19,12%;0,00%;7,14%;6,79%;19,00%;100,00%
LDB;LDB;LDB_CAC;11,24%;46,23%;11,43%;5,91%;0,00%;0,00%;6,19%;19,00%;100,00%
FLN;LDB;LAJ_CAC;0,00%;18,04%;17,77%;11,08%;21,80%;5,86%;6,44%;19,00%;100,00%
BHZ;LDB;PSA_CAC;0,00%;17,23%;17,79%;1,79%;30,93%;7,91%;5,34%;19,00%;100,00%
FLN;LDB;CCM_CAC;0,00%;16,59%;16,34%;10,19%;26,41%;5,39%;6,08%;19,00%;100,00%
RAO;LDB;RAO_CAC;9,33%;25,95%;21,46%;8,80%;0,00%;8,71%;6,75%;19,00%;100,00%
BAU;LDB;BAU_CAC;9,82%;22,89%;22,85%;9,04%;0,00%;8,24%;8,15%;19,00%;100,00%
FLN;LDB;XAP_CAC;0,00%;18,04%;17,77%;11,08%;20,70%;5,86%;7,55%;19,00%;100,00%
POA;LDB;POA_CAC;3,94%;20,63%;20,39%;19,02%;0,00%;8,78%;8,25%;19,00%;100,00%
SJP;LDB;SJP_CAC;4,64%;20,20%;35,01%;7,63%;0,00%;8,27%;5,25%;19,00%;100,00%
CXJ;LDB;CXJ_CAC;5,92%;18,29%;18,85%;20,08%;0,00%;9,23%;8,63%;19,00%;100,00%
SJP;LDB;PPB_CAC;0,00%;17,26%;29,91%;1,80%;17,44%;7,06%;7,53%;19,00%;100,00%
RIO;LDB;RIO_CAC;11,46%;26,78%;25,17%;0,00%;0,00%;10,62%;6,96%;19,00%;100,00%
BHZ;LDB;JDF_CAC;0,00%;20,59%;21,26%;0,00%;24,34%;9,46%;5,35%;19,00%;100,00%
BHZ;LDB;DIV_CAC;0,00%;25,51%;26,35%;0,00%;10,78%;11,72%;6,63%;19,00%;100,00%
BHZ;LDB;BHZ_CAC;6,20%;27,18%;28,07%;0,00%;0,00%;12,49%;7,07%;19,00%;100,00%
UDI;LDB;UDI_CAC;5,59%;31,18%;29,35%;0,00%;0,00%;6,77%;8,11%;19,00%;100,00%
RIO;LDB;CAW_CAC;0,00%;21,77%;20,46%;0,00%;24,47%;8,63%;5,66%;19,00%;100,00%
VIX;LDB;VIX_CAC;4,19%;27,14%;23,00%;6,09%;0,00%;13,52%;7,06%;19,00%;100,00%
GYN;LDB;GYN_CAC;7,91%;27,14%;23,90%;0,00%;0,00%;14,99%;7,06%;19,00%;100,00%
BSB;LDB;BSB_CAC;6,64%;23,47%;28,14%;0,00%;0,00%;15,36%;7,40%;19,00%;100,00%
FES;LDB;VDC_CAC;0,00%;18,78%;13,94%;0,00%;29,70%;13,70%;4,88%;19,00%;100,00%
FES;LDB;ITN_CAC;0,00%;19,99%;14,83%;0,00%;26,41%;14,58%;5,20%;19,00%;100,00%
SSA;LDB;SSA_CAC;8,41%;23,86%;24,97%;0,00%;0,00%;17,57%;6,20%;19,00%;100,00%
FES;LDB;FES_CAC;3,44%;28,40%;21,07%;0,00%;0,00%;20,71%;7,38%;19,00%;100,00%
BSB;LDB;CGR_CAC;41,36%;16,85%;9,31%;0,00%;0,00%;9,10%;4,38%;19,00%;100,00%
BSB;LDB;PMW_CAC;0,00%;15,55%;18,64%;0,00%;28,54%;10,17%;8,10%;19,00%;100,00%
BSB;LDB;CGB_CAC;39,47%;13,89%;12,97%;0,00%;0,00%;10,24%;4,43%;19,00%;100,00%
REC;LDB;PNZ_CAC;0,00%;16,71%;15,79%;0,00%;27,95%;16,20%;4,35%;19,00%;100,00%
AJU;LDB;AJU_CAC;10,98%;22,72%;21,46%;0,00%;0,00%;19,93%;5,91%;19,00%;100,00%
MCZ;LDB;MCZ_CAC;6,41%;23,23%;24,22%;0,00%;0,00%;21,09%;6,04%;19,00%;100,00%
FOR;LDB;IMP_CAC;0,00%;16,20%;15,18%;0,00%;28,78%;16,63%;4,21%;19,00%;100,00%
REC;LDB;CAU_CAC;0,00%;17,41%;16,45%;0,00%;25,75%;16,87%;4,53%;19,00%;100,00%
FOR;LDB;THE_CAC;0,00%;16,29%;15,26%;0,00%;28,49%;16,72%;4,24%;19,00%;100,00%
REC;LDB;REC_CAC;8,09%;22,97%;21,71%;0,00%;0,00%;22,26%;5,97%;19,00%;100,00%
JPA;LDB;JPA_CAC;5,42%;23,59%;22,07%;0,00%;0,00%;23,78%;6,13%;19,00%;100,00%
NAT;LDB;NAT_CAC;6,54%;21,99%;23,75%;0,00%;0,00%;23,00%;5,72%;19,00%;100,00%
FOR;LDB;SLZ_CAC;0,00%;16,56%;15,51%;0,00%;27,62%;17,00%;4,31%;19,00%;100,00%
FOR;LDB;FOR_CAC;7,22%;22,89%;21,44%;0,00%;0,00%;23,50%;5,95%;19,00%;100,00%
BEL;LDB;BEL_CAC;7,17%;25,39%;29,87%;0,00%;0,00%;10,49%;8,09%;19,00%;100,00%
REC;REC;CAU_CAU;0,00%;0,00%;16,98%;0,00%;64,02%;0,00%;0,00%;19,00%;100,00%
REC;REC;REC_CAU;10,79%;45,37%;12,03%;12,81%;0,00%;0,00%;0,00%;19,00%;100,00%
FES;REC;FES_CAU;4,24%;51,83%;6,64%;4,09%;0,00%;11,11%;3,08%;19,00%;100,00%
FES;REC;ITN_CAU;0,00%;33,30%;4,27%;0,00%;29,73%;7,14%;6,57%;19,00%;100,00%
FES;REC;VDC_CAU;0,00%;30,93%;3,96%;0,00%;33,07%;6,63%;6,41%;19,00%;100,00%
SSA;REC;SSA_CAU;7,70%;32,34%;14,95%;14,33%;0,00%;8,41%;3,27%;19,00%;100,00%
AJU;REC;AJU_CAU;11,50%;35,20%;9,34%;11,80%;0,00%;11,06%;2,09%;19,00%;100,00%
REC;REC;PNZ_CAU;0,00%;33,81%;8,97%;0,00%;38,22%;0,00%;0,00%;19,00%;100,00%
MCZ;REC;MCZ_CAU;6,75%;36,20%;11,99%;11,79%;0,00%;12,13%;2,15%;19,00%;100,00%
VIX;REC;VIX_CAU;3,75%;35,89%;11,76%;5,75%;0,00%;15,05%;8,80%;19,00%;100,00%
BHZ;REC;BHZ_CAU;4,80%;31,14%;14,10%;7,82%;0,00%;14,48%;8,67%;19,00%;100,00%
BSB;REC;BSB_CAU;6,12%;32,00%;10,98%;7,57%;0,00%;15,02%;9,31%;19,00%;100,00%
BSB;REC;PMW_CAU;0,00%;23,10%;7,93%;1,82%;28,67%;10,85%;8,63%;19,00%;100,00%
RIO;REC;CAW_CAU;0,00%;25,88%;10,10%;2,04%;19,66%;12,95%;10,36%;19,00%;100,00%
BHZ;REC;DIV_CAU;0,00%;30,06%;13,61%;2,37%;8,59%;13,98%;12,39%;19,00%;100,00%
BHZ;REC;JDF_CAU;0,00%;25,15%;11,39%;1,99%;20,09%;11,69%;10,70%;19,00%;100,00%
GYN;REC;GYN_CAU;6,37%;32,33%;11,31%;3,71%;0,00%;16,59%;10,68%;19,00%;100,00%
FOR;REC;SLZ_CAU;0,00%;26,25%;10,19%;2,07%;29,60%;11,33%;1,56%;19,00%;100,00%
RIO;REC;RIO_CAU;8,62%;29,80%;11,63%;6,53%;0,00%;14,92%;9,51%;19,00%;100,00%
BHZ;REC;PSA_CAU;0,00%;24,40%;11,05%;1,93%;29,62%;11,35%;2,65%;19,00%;100,00%
CPQ;REC;SJK_CAU;0,00%;23,54%;9,09%;1,86%;19,67%;15,37%;11,48%;19,00%;100,00%
CPQ;REC;CPQ_CAU;5,73%;25,48%;9,84%;10,61%;0,00%;16,64%;12,70%;19,00%;100,00%
SAO;REC;SAO_CAU;3,99%;27,36%;13,73%;4,09%;0,00%;18,03%;13,80%;19,00%;100,00%
SAO;REC;SSZ_CAU;0,00%;21,17%;10,62%;1,67%;22,85%;13,95%;10,75%;19,00%;100,00%
CPQ;REC;SOD_CAU;0,00%;24,64%;9,52%;1,95%;15,99%;16,09%;12,81%;19,00%;100,00%
BAU;REC;BAU_CAU;6,24%;21,52%;17,28%;7,45%;0,00%;16,26%;12,25%;19,00%;100,00%
RAO;REC;RAO_CAU;5,66%;23,26%;15,98%;7,17%;0,00%;17,20%;11,73%;19,00%;100,00%
CWB;REC;CWB_CAU;4,12%;22,65%;15,49%;10,20%;0,00%;17,13%;11,42%;19,00%;100,00%
JOI;REC;JOI_CAU;3,02%;24,14%;16,87%;6,35%;0,00%;18,45%;12,17%;19,00%;100,00%
BSB;REC;CGB_CAU;30,18%;15,71%;6,07%;6,54%;0,00%;14,67%;7,83%;19,00%;100,00%
BSB;REC;CGR_CAU;28,65%;17,26%;8,66%;2,58%;0,00%;15,15%;8,70%;19,00%;100,00%
SJP;REC;SJP_CAU;3,08%;19,84%;25,78%;6,63%;0,00%;15,65%;10,00%;19,00%;100,00%
BNU;REC;BNU_CAU;2,79%;25,06%;18,47%;5,53%;0,00%;16,52%;12,64%;19,00%;100,00%
ITJ;REC;ITJ_CAU;0,00%;24,92%;17,42%;3,72%;3,32%;19,05%;12,57%;19,00%;100,00%
LDB;REC;LDB_CAU;3,86%;23,46%;15,69%;5,53%;0,00%;18,18%;14,29%;19,00%;100,00%
SJP;REC;PPB_CAU;0,00%;17,82%;23,16%;2,66%;12,18%;14,06%;11,11%;19,00%;100,00%
FLN;REC;FLN_CAU;2,73%;20,69%;20,39%;9,02%;0,00%;16,83%;11,35%;19,00%;100,00%
UDI;REC;UDI_CAU;2,97%;24,50%;18,73%;6,29%;0,00%;16,15%;12,36%;19,00%;100,00%
MGF;REC;MGF_CAU;2,62%;23,34%;16,64%;7,67%;0,00%;18,95%;11,77%;19,00%;100,00%
FLN;REC;LAJ_CAU;0,00%;18,16%;17,89%;4,78%;14,84%;14,77%;10,55%;19,00%;100,00%
BEL;REC;BEL_CAU;4,61%;24,15%;13,33%;14,05%;0,00%;17,25%;7,62%;19,00%;100,00%
FLN;REC;CCM_CAU;0,00%;17,14%;16,89%;4,51%;18,45%;13,94%;10,07%;19,00%;100,00%
LDB;REC;CAC_CAU;0,00%;20,51%;13,72%;3,06%;13,86%;15,90%;13,95%;19,00%;100,00%
FLN;REC;XAP_CAU;0,00%;18,16%;17,90%;4,78%;14,08%;14,77%;11,31%;19,00%;100,00%
CXJ;REC;CXJ_CAU;5,25%;23,98%;12,71%;6,43%;0,00%;20,54%;12,09%;19,00%;100,00%
POA;REC;POA_CAU;2,56%;19,86%;19,61%;9,36%;0,00%;17,50%;12,11%;19,00%;100,00%
JPA;REC;JPA_CAU;6,71%;43,16%;11,18%;0,00%;0,00%;17,39%;2,57%;19,00%;100,00%
NAT;REC;NAT_CAU;7,96%;39,59%;14,13%;0,00%;0,00%;16,96%;2,35%;19,00%;100,00%
FOR;REC;THE_CAU;0,00%;26,45%;10,26%;0,00%;31,28%;11,42%;1,57%;19,00%;100,00%
FOR;REC;FOR_CAU;8,26%;38,71%;15,02%;0,00%;0,00%;16,71%;2,30%;19,00%;100,00%
FOR;REC;IMP_CAU;0,00%;26,30%;10,20%;0,00%;31,58%;11,35%;1,56%;19,00%;100,00%
RIO;RIO;CAW_CAW;0,00%;0,00%;20,76%;0,00%;60,24%;0,00%;0,00%;19,00%;100,00%
SAO;RIO;SAO_CAW;7,34%;38,22%;18,79%;3,54%;0,00%;5,26%;7,86%;19,00%;100,00%
SAO;RIO;SSZ_CAW;0,00%;24,91%;12,24%;0,00%;35,38%;3,43%;5,04%;19,00%;100,00%
BHZ;RIO;PSA_CAW;0,00%;21,70%;9,27%;0,00%;34,67%;4,04%;11,32%;19,00%;100,00%
CPQ;RIO;CPQ_CAW;9,77%;33,02%;11,21%;14,66%;0,00%;5,17%;7,17%;19,00%;100,00%
CPQ;RIO;SJK_CAW;0,00%;29,22%;9,92%;0,00%;32,14%;4,57%;5,14%;19,00%;100,00%
CPQ;RIO;SOD_CAW;0,00%;31,32%;10,64%;0,00%;26,75%;4,90%;7,40%;19,00%;100,00%
RIO;RIO;RIO_CAW;15,31%;40,20%;13,86%;7,41%;0,00%;0,00%;4,23%;19,00%;100,00%
RAO;RIO;RAO_CAW;9,24%;28,86%;21,23%;8,71%;0,00%;7,02%;5,94%;19,00%;100,00%
BAU;RIO;BAU_CAW;9,73%;25,49%;22,64%;8,96%;0,00%;6,75%;7,42%;19,00%;100,00%
CWB;RIO;CWB_CAW;6,61%;27,63%;20,21%;13,51%;0,00%;7,35%;5,68%;19,00%;100,00%
JOI;RIO;JOI_CAW;5,06%;30,67%;23,04%;7,44%;0,00%;8,48%;6,31%;19,00%;100,00%
SJP;RIO;SJP_CAW;4,61%;22,52%;34,72%;7,57%;0,00%;6,95%;4,63%;19,00%;100,00%
ITJ;RIO;ITJ_CAW;0,00%;32,39%;24,33%;3,00%;5,67%;8,95%;6,66%;19,00%;100,00%
LDB;RIO;LDB_CAW;5,86%;27,06%;15,15%;15,10%;0,00%;8,29%;9,55%;19,00%;100,00%
SJP;RIO;PPB_CAW;0,00%;19,26%;29,70%;1,78%;17,32%;5,95%;6,99%;19,00%;100,00%
UDI;RIO;UDI_CAW;4,38%;27,50%;18,85%;16,10%;0,00%;8,19%;5,97%;19,00%;100,00%
BNU;RIO;BNU_CAW;4,14%;28,27%;18,36%;15,20%;0,00%;8,90%;6,14%;19,00%;100,00%
FLN;RIO;FLN_CAW;4,16%;24,00%;27,07%;11,27%;0,00%;8,17%;6,33%;19,00%;100,00%
MGF;RIO;MGF_CAW;4,00%;27,05%;16,71%;18,40%;0,00%;8,97%;5,87%;19,00%;100,00%
FLN;RIO;LAJ_CAW;0,00%;19,79%;22,32%;4,80%;21,28%;6,74%;6,07%;19,00%;100,00%
FLN;RIO;CCM_CAW;0,00%;18,23%;20,57%;4,42%;25,82%;6,21%;5,74%;19,00%;100,00%
LDB;RIO;CAC_CAW;0,00%;22,12%;12,38%;9,82%;19,68%;6,77%;10,24%;19,00%;100,00%
FLN;RIO;XAP_CAW;0,00%;19,79%;22,33%;4,80%;20,20%;6,74%;7,15%;19,00%;100,00%
CXJ;RIO;CXJ_CAW;8,74%;30,35%;16,04%;7,55%;0,00%;12,07%;6,24%;19,00%;100,00%
POA;RIO;POA_CAW;4,54%;26,69%;23,27%;9,79%;0,00%;11,23%;5,49%;19,00%;100,00%
BHZ;RIO;JDF_CAW;0,00%;30,39%;12,99%;0,00%;31,96%;5,66%;0,00%;19,00%;100,00%
BHZ;RIO;BHZ_CAW;8,04%;39,65%;16,94%;8,99%;0,00%;7,38%;0,00%;19,00%;100,00%
BHZ;RIO;DIV_CAW;0,00%;40,72%;17,40%;0,00%;15,31%;7,58%;0,00%;19,00%;100,00%
VIX;RIO;VIX_CAW;6,73%;48,98%;12,85%;5,24%;0,00%;7,20%;0,00%;19,00%;100,00%
FES;RIO;VDC_CAW;0,00%;24,80%;10,69%;0,00%;34,91%;10,60%;0,00%;19,00%;100,00%
FES;RIO;ITN_CAW;0,00%;26,70%;11,51%;0,00%;31,38%;11,41%;0,00%;19,00%;100,00%
GYN;RIO;GYN_CAW;7,83%;30,18%;23,64%;0,00%;0,00%;13,15%;6,21%;19,00%;100,00%
FES;RIO;FES_CAW;4,44%;41,20%;17,76%;0,00%;0,00%;17,60%;0,00%;19,00%;100,00%
BSB;RIO;BSB_CAW;6,58%;26,13%;27,87%;0,00%;0,00%;13,77%;6,66%;19,00%;100,00%
SSA;RIO;SSA_CAW;9,31%;29,71%;25,87%;0,00%;0,00%;14,48%;1,62%;19,00%;100,00%
AJU;RIO;AJU_CAW;13,40%;31,15%;19,05%;0,00%;0,00%;17,40%;0,00%;19,00%;100,00%
REC;RIO;PNZ_CAW;0,00%;20,62%;16,09%;0,00%;30,68%;13,61%;0,00%;19,00%;100,00%
MCZ;RIO;MCZ_CAW;7,86%;32,02%;22,36%;0,00%;0,00%;18,76%;0,00%;19,00%;100,00%
REC;RIO;CAU_CAW;0,00%;21,56%;16,82%;0,00%;28,38%;14,24%;0,00%;19,00%;100,00%
BSB;RIO;CGR_CAW;41,08%;18,81%;9,24%;0,00%;0,00%;8,00%;3,87%;19,00%;100,00%
BSB;RIO;PMW_CAW;0,00%;17,37%;18,52%;0,00%;28,36%;9,15%;7,60%;19,00%;100,00%
BSB;RIO;CGB_CAW;44,42%;17,57%;5,97%;0,00%;0,00%;9,23%;3,81%;19,00%;100,00%
REC;RIO;REC_CAW;9,21%;29,41%;22,95%;0,00%;0,00%;19,42%;0,00%;19,00%;100,00%
JPA;RIO;JPA_CAW;6,67%;32,62%;19,68%;0,00%;0,00%;22,03%;0,00%;19,00%;100,00%
