ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
ALIBAU2;ALI;BAU2;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,09%
ALIBEL;ALI;BEL;AL;PA; R$ 404,15 ; R$ 474,85 ; R$ 559,95 ; R$ 715,21 ; R$ 987,50 ; R$ 1.462,81 ; R$ 14,63 ;0,93%
ALIBHZ;ALI;BHZ;AL;MG; R$ 219,28 ; R$ 257,64 ; R$ 303,82 ; R$ 388,05 ; R$ 535,79 ; R$ 793,68 ; R$ 7,94 ;0,83%
ALIBNU;ALI;BNU;AL;SC; R$ 227,99 ; R$ 267,87 ; R$ 315,88 ; R$ 403,45 ; R$ 557,06 ; R$ 825,18 ; R$ 8,25 ;1,24%
ALIBSB;ALI;BSB;AL;DF; R$ 252,60 ; R$ 296,81 ; R$ 349,99 ; R$ 447,03 ; R$ 617,22 ; R$ 914,31 ; R$ 9,14 ;1,24%
ALICEI;ALI;CEI;AL;CE; R$ 270,00 ; R$ 317,23 ; R$ 374,08 ; R$ 477,81 ; R$ 659,71 ; R$ 977,25 ; R$ 9,77 ;0,83%
ALICEI2;ALI;CEI2;AL;CE; R$ 332,30 ; R$ 390,45 ; R$ 460,41 ; R$ 588,07 ; R$ 811,95 ; R$ 1.202,77 ; R$ 12,02 ;0,83%
ALICGB;ALI;CGB;AL;MT; R$ 567,48 ; R$ 666,77 ; R$ 786,25 ; R$ 1.004,25 ; R$ 1.386,59 ; R$ 2.054,00 ; R$ 20,54 ;1,35%
ALICGR;ALI;CGR;AL;MS; R$ 476,62 ; R$ 560,00 ; R$ 660,36 ; R$ 843,46 ; R$ 1.164,57 ; R$ 1.725,10 ; R$ 17,26 ;1,24%
ALICPF;ALI;CPF;AL;SP; R$ 300,83 ; R$ 353,46 ; R$ 416,80 ; R$ 532,36 ; R$ 735,04 ; R$ 1.088,83 ; R$ 10,89 ;0,93%
ALICPF2;ALI;CPF2;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,03%
ALICPQ;ALI;CPQ;AL;SP; R$ 243,58 ; R$ 286,20 ; R$ 337,49 ; R$ 431,07 ; R$ 595,17 ; R$ 881,66 ; R$ 8,81 ;0,93%
ALICWB;ALI;CWB;AL;PR; R$ 238,07 ; R$ 279,73 ; R$ 329,85 ; R$ 421,31 ; R$ 581,71 ; R$ 861,70 ; R$ 8,61 ;1,03%
ALIDIV;ALI;DIV;AL;MG; R$ 219,28 ; R$ 257,64 ; R$ 303,82 ; R$ 388,05 ; R$ 535,79 ; R$ 793,68 ; R$ 7,94 ;0,83%
ALIESI;ALI;ESI;AL;ES; R$ 268,29 ; R$ 315,22 ; R$ 371,71 ; R$ 474,77 ; R$ 655,52 ; R$ 971,04 ; R$ 9,70 ;0,83%
ALIESI2;ALI;ESI2;AL;ES; R$ 330,20 ; R$ 387,96 ; R$ 457,49 ; R$ 584,33 ; R$ 806,79 ; R$ 1.195,13 ; R$ 11,95 ;0,83%
ALIFES;ALI;FES;AL;BA; R$ 172,79 ; R$ 203,03 ; R$ 239,41 ; R$ 305,79 ; R$ 422,20 ; R$ 625,42 ; R$ 6,25 ;0,62%
ALIFLN;ALI;FLN;AL;SC; R$ 244,10 ; R$ 286,80 ; R$ 338,20 ; R$ 431,97 ; R$ 596,43 ; R$ 883,50 ; R$ 8,84 ;1,24%
ALIFOR;ALI;FOR;AL;CE; R$ 207,69 ; R$ 244,02 ; R$ 287,76 ; R$ 367,55 ; R$ 507,48 ; R$ 751,73 ; R$ 7,51 ;0,83%
ALIGOI;ALI;GOI;AL;GO; R$ 360,74 ; R$ 423,86 ; R$ 499,82 ; R$ 638,40 ; R$ 881,45 ; R$ 1.305,71 ; R$ 13,05 ;1,24%
