UF;CIDADE;BUSCA;REF;CLASSIFICACAO_CAP_IN;CAP_INT;REGIÇO;JAMEF;FILIAL_ATENDIMENTO
SP;ESTRELA D'OESTE;SPESTRELA D'OESTE;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
RS;ESTRELA VELHA;RSESTRELA VELHA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
BA;EUCLIDES DA CUNHA;BAEUCLIDES DA CUNHA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
SP;EUCLIDES DA CUNHA PAULISTA;SPEUCLIDES DA CUNHA PAULISTA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
RS;EUGENIO DE CASTRO;RSEUGENIO DE CASTRO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
MG;EUGENOPOLIS;MGEUGENOPOLIS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
BA;EUNAPOLIS;BAEUNAPOLIS;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
CE;EUSEBIO;CEEUSEBIO;CEC;Capital;C;Nordeste;FOR;Fortaleza - CE
MG;EWBANK DA CAMARA;MGEWBANK DA CAMARA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MG;EXTREMA;MGEXTREMA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RN;EXTREMOZ;RNEXTREMOZ;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
PE;EXU;PEEXU;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
PB;FAGUNDES;PBFAGUNDES;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
RS;FAGUNDES VARELA;RSFAGUNDES VARELA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
GO;FAINA;GOFAINA;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
MG;FAMA;MGFAMA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MG;FARIA LEMOS;MGFARIA LEMOS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
CE;FARIAS BRITO;CEFARIAS BRITO;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
PA;FARO;PAFARO;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
PR;FAROL;PRFAROL;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
RS;FARROUPILHA;RSFARROUPILHA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
SP;FARTURA;SPFARTURA;SPI2;Interior-2;I2;Sudeste;CPQ;Campinas - SP
PI;FARTURA DO PIAUI;PIFARTURA DO PIAUI;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
BA;FATIMA;BAFATIMA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
TO;FATIMA;TOFATIMA;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
MS;FATIMA DO SUL;MSFATIMA DO SUL;MSI2;Interior-2;I2;Centro Oeste;CGR;Brasilia - DF
PR;FAXINAL;PRFAXINAL;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
RS;FAXINAL DO SOTURNO;RSFAXINAL DO SOTURNO;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
SC;FAXINAL DOS GUEDES;SCFAXINAL DOS GUEDES;SCI1;Interior-1;I1;Sul;FLN;Florian¢polis - SC
RS;FAXINALZINHO;RSFAXINALZINHO;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
GO;FAZENDA NOVA;GOFAZENDA NOVA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
PR;FAZENDA RIO GRANDE;PRFAZENDA RIO GRANDE;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
RS;FAZENDA VILANOVA;RSFAZENDA VILANOVA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
BA;FEIRA DA MATA;BAFEIRA DA MATA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
BA;FEIRA DE SANTANA;BAFEIRA DE SANTANA;BAC;Capital;C;Nordeste;FES;Feira de Santana - BA
AL;FEIRA GRANDE;ALFEIRA GRANDE;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
PE;FEIRA NOVA;PEFEIRA NOVA;PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
SE;FEIRA NOVA;SEFEIRA NOVA;SEI2;Interior-2;I2;Nordeste;AJU;Aracaju - SE
MA;FEIRA NOVA DO MARANHAO;MAFEIRA NOVA DO MARANHAO;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
MG;FELICIO DOS SANTOS;MGFELICIO DOS SANTOS;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
RN;FELIPE GUERRA;RNFELIPE GUERRA;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
MG;FELISBURGO;MGFELISBURGO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MG;FELIXLANDIA;MGFELIXLANDIA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;FELIZ;RSFELIZ;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
AL;FELIZ DESERTO;ALFELIZ DESERTO;ALI1;Interior-1;I1;Nordeste;MCZ;Maceio - AL
MT;FELIZ NATAL;MTFELIZ NATAL;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
PR;FENIX;PRFENIX;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
PR;FERNANDES PINHEIRO;PRFERNANDES PINHEIRO;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
